 Date : 01/03/14    Vehical : 28 -  8897  Wan    By User : asiri
No|Item|Weight|Price|Units|BSC|BSP|LDC|LDP|ULC|ULP|RDC|RDP|BilP|Excs|Shrt
1|Goold Marie - 02/24/2013|  0.080|   26.25| 60|2|48|14|0|4|59|11|49|709|0|0
2|Chocolate Cream - 08/14/2013|  0.100|   43.25| 50|2|7|17|0|2|20|16|37|837|0|0
3|Cream Cracker - 02/24/2013|  0.130|   45.00| 48|1|29|6|0|1|11|6|18|306|0|0
4|Cream Cracker - 02/24/2013|  0.190|   67.50| 40|1|35|2|0|1|8|2|27|98|0|9
5|Cream Cracker - 06/29/2013|  0.330|  126.00|  8|0|4|3|0|1|2|2|2|18|0|0
6|Cream Cracker - 02/24/2013|  0.500|  154.88|  8|3|0|6|0|4|5|4|3|35|0|0
7|Lemon puff - 06/29/2013|  0.100|   49.50| 30|0|24|1|0|0|18|1|6|36|0|0
8|Lemon Puff - 05/13/2013|  0.200|   90.00| 30|1|0|3|0|0|27|3|3|93|0|0
9|Sorties - 02/24/2013|  0.070|   22.50| 60|0|21|1|0|1|9|0|12|12|0|0
10|Njce - 07/03/2013|  0.100|   39.60| 50|0|18|0|0|0|18|0|0|0|0|0
11|Hawaiian Cookies - 06/29/2013|  0.100|   45.00| 30|0|27|0|0|0|15|0|12|12|0|0
12|Hawaiian Cookies - 06/29/2013|  0.200|   85.50| 24|0|7|1|0|0|13|0|18|18|0|0
13|Bran Cracker - 06/29/2013|  0.140|   72.00| 40|0|19|0|0|0|19|0|0|0|0|0
14|Bran Cracker - 06/29/2013|  0.210|   90.00| 24|0|15|0|0|0|15|0|0|0|0|0
15|Cheese Bits - 05/13/2013|  0.170|  130.50| 15|0|10|0|0|0|8|0|2|2|0|0
16|Cheese Bits - 05/13/2013|  0.250|  243.00| 10|0|6|0|0|0|6|0|0|0|0|0
17|Cheesebits - 04/19/2013|  0.030|   22.50| 60|0|0|0|42|0|12|0|30|30|0|0
18|Krisco - 07/03/2013|  0.170|  126.00| 15|0|2|0|0|0|0|0|2|2|0|0
19|Krisco - 05/13/2013|  0.220|  234.00| 10|0|9|0|0|0|9|0|0|0|0|0
20|Chocolate Cream - 02/24/2013|  0.500|  173.00|  4|10|0|0|0|7|2|2|2|6|0|4
21|Custard Cream - 02/24/2013|  0.100|   38.93| 50|1|28|0|0|1|4|0|24|24|0|0
22|Orange Cream - 03/31/2013|  0.100|   38.93| 50|1|4|0|0|1|4|0|0|0|0|0
23|Chickbits - 06/29/2013|  0.080|   63.00| 40|0|6|0|0|0|6|0|0|0|0|0
24|Chickbit - 05/13/2013|  0.030|   22.50| 60|1|39|0|0|1|9|0|30|30|0|0
25|Gingernut - 06/29/2013|  0.080|   39.60| 50|0|30|1|0|1|5|0|25|24|0|1
26|Gingernut - 06/29/2013|  0.240|  105.40| 24|0|5|0|0|0|0|0|5|6|1|0
27|Millk Short Cake - 06/29/2013|  0.080|   39.38| 50|1|11|0|0|1|5|0|6|6|0|0
28|Snackers-Cheese & Chille - 06/29/2013|  0.040|   27.00| 40|0|6|0|0|0|6|0|0|0|0|0
29|Snackers- Masala - 06/29/2013|  0.040|   27.00| 40|0|6|0|0|0|6|0|0|0|0|0
30|Snackers- Spicy - 07/03/2013|  0.040|   27.00| 40|0|3|0|0|0|3|0|0|0|0|0
31|Custard Cream - 07/03/2013|  0.500|  173.00|  4|4|0|0|0|3|2|0|2|6|4|0
32|Orenge Cream - 07/03/2013|  0.500|  173.00|  4|3|1|0|0|3|1|0|0|0|0|0
33|Nice - 07/03/2013|  0.380|  149.60|  4|11|0|0|0|9|0|2|0|8|0|0
34|Sorties - 07/03/2013|  0.330|  108.00|  4|10|0|0|0|5|3|4|1|16|0|1
35|Gift Selection - 04/02/2013|  0.400|  198.00| 10|0|8|0|0|0|8|0|0|0|0|0
36|Kisco Bite - 07/03/2013|  0.030|   22.50| 60|0|50|0|0|0|30|0|20|20|0|0
37|Light Marie - 02/24/2013|  0.070|   22.50| 60|0|2|1|0|0|38|0|24|24|0|0
38|Light Marie - 02/24/2013|  0.280|   90.00|  6|2|5|0|0|1|5|1|0|6|0|0
39|Classic Bis Asst - 05/13/2013|  0.500|  405.00| 10|0|2|0|0|0|0|0|2|2|0|0
40|Goold Marie - 07/03/2013|  0.320|  118.13|  4|1|1|0|0|1|1|0|0|0|0|0
41|Wafers-chocolate - 07/31/2013|  0.100|   43.75| 20|1|4|1|0|1|12|0|12|12|0|0
42|Wafers-vanila - 07/31/2013|  0.100|   43.75| 20|1|10|0|0|0|6|1|4|24|0|0
43|Spicy Cracker - 03/30/2013|  0.080|   45.00| 30|1|27|0|0|1|27|0|0|6|6|0
44|Spicy Cracker - 03/30/2013|  0.150|   81.00| 30|1|1|0|0|0|21|0|10|0|0|10
45|Chocolate Cream Marie - 02/24/2013|  0.070|   31.50| 22|0|22|0|0|0|20|0|2|0|0|2
46|Waferes Chocolat - 11/11/2013|  0.250|   96.25|  8|2|3|0|0|2|3|0|0|0|0|0
47|Wefers vanila - 11/11/2013|  0.250|   96.25|  8|2|2|0|0|2|2|0|0|0|0|0
48|Double Cream - Strawbery - 12/26/2013|  0.110|   49.50| 50|1|13|0|0|0|0|1|13|27|0|36
49|Double Cream- Chocolate - 12/26/2013|  0.110|   49.50| 50|1|7|0|0|0|0|1|7|27|0|30
 
|Sales Value (Rs.)   :         111,861.50|Total Value (Rs.)   :       1,967,480.76
|Sales Tonnage (kg)  :             288.120|Total Tonnage (kg)  :           4,942.090
